date,price
2016-01-04,42
2016-01-05,41.1
2016-01-06,40.35
2016-01-07,39.65
2016-01-08,39.95
2016-01-11,39
2016-01-12,38.9
2016-01-13,38.4
2016-01-14,37
2016-01-15,35.5
2016-01-18,35
2016-01-19,35.3
2016-01-20,33.9
2016-01-21,33.6
2016-01-22,34.1
2016-01-25,35.25
2016-01-26,34.1
2016-01-27,34.1
2016-01-28,34.15
2016-01-29,36.1
2016-02-01,37
2016-02-02,37
2016-02-03,35.8
2016-02-15,35
2016-02-16,36.65
2016-02-17,36
2016-02-18,36.9
2016-02-19,37
2016-02-22,36.9
2016-02-23,37.1
2016-02-24,36.6
2016-02-25,36.9
2016-02-26,37.3
2016-03-01,37.05
2016-03-02,38.2
2016-03-03,39.45
2016-03-04,39.35
2016-03-07,39.6
2016-03-08,39.65
2016-03-09,39.5
2016-03-10,39.25
2016-03-11,39.4
2016-03-14,39.55
2016-03-15,38.6
2016-03-16,39
2016-03-17,39.15
2016-03-18,39.4
2016-03-21,39.1
2016-03-22,38.75
2016-03-23,38.65
2016-03-24,37.9
2016-03-25,37.9
2016-03-28,37.9
2016-03-29,37.3
2016-03-30,37.95
2016-03-31,38.55
2016-04-01,37.75
2016-04-06,36.8
2016-04-07,36.4
2016-04-08,36.3
2016-04-11,35.9
2016-04-12,35.8
2016-04-13,36.35
2016-04-14,36.3
2016-04-15,36.6
2016-04-18,36.65
2016-04-19,36.05
2016-04-20,35.85
2016-04-21,36.2
2016-04-22,36.15
2016-04-25,36.3
2016-04-26,36.65
2016-04-27,36.6
2016-04-28,36.25
2016-04-29,36.25
2016-05-03,36.25
2016-05-04,35.9
2016-05-05,35.9
2016-05-06,35.7
2016-05-09,35.5
2016-05-10,35.3
2016-05-11,35.15
2016-05-12,35
2016-05-13,34.6
2016-05-16,34.6
2016-05-17,34.85
2016-05-18,34.8
2016-05-19,35.15
2016-05-20,35.1
2016-05-23,36.7
2016-05-24,36.4
2016-05-25,37.2
2016-05-26,37
2016-05-27,37.6
2016-05-30,38.05
2016-05-31,37.7
2016-06-01,38
2016-06-02,38
2016-06-03,37.95
2016-06-06,37.6
2016-06-07,37.95
2016-06-08,37.7
2016-06-13,37.6
2016-06-14,37.85
2016-06-15,38
2016-06-16,36.8
2016-06-17,37.3
2016-06-20,37.6
2016-06-21,37.9
2016-06-22,37.9
2016-06-23,37.65
2016-06-24,36.4
2016-06-27,34.55
2016-06-28,34.3
2016-06-29,34.4
2016-06-30,35
2016-07-01,35.05
2016-07-04,35.15
2016-07-05,35
2016-07-06,34.1
2016-07-07,34.1
2016-07-11,34.15
2016-07-12,34.4
2016-07-13,35.1
2016-07-14,35.65
2016-07-15,36.5
2016-07-18,36.95
2016-07-19,37.3
2016-07-20,36.85
2016-07-21,37
2016-07-22,36.7
2016-07-25,36.4
2016-07-26,36.35
2016-07-27,36.15
2016-07-28,36.35
2016-07-29,35.85
2016-08-01,36.1
2016-08-02,35.9
2016-08-03,35.8
2016-08-04,36.1
2016-08-05,36.5
2016-08-08,37.25
2016-08-09,37.8
2016-08-10,38
2016-08-11,37.6
2016-08-12,37.95
2016-08-15,37.85
2016-08-16,37.8
2016-08-17,38.15
2016-08-18,38.05
2016-08-19,37.5
2016-08-22,37
2016-08-23,37.8
2016-08-24,37.8
2016-08-25,38.75
2016-08-26,39.4
2016-08-29,39.6
2016-08-30,40.65
2016-08-31,40.1
2016-09-01,39.35
2016-09-02,39.45
2016-09-05,40
2016-09-06,40.45
2016-09-07,40.8
2016-09-08,41.25
2016-09-09,40.45
2016-09-12,39.7
2016-09-13,39.15
2016-09-14,39.3
2016-09-19,40.2
2016-09-20,40
2016-09-21,40.5
2016-09-22,40.6
2016-09-23,40.65
2016-09-26,40.35
2016-09-29,40.7
2016-09-30,40.1
2016-10-03,40.05
2016-10-04,40.45
2016-10-05,40.1
2016-10-06,40.25
2016-10-07,40.15
2016-10-11,40
2016-10-12,40.65
2016-10-13,39.95
2016-10-14,39.7
2016-10-17,39.95
2016-10-18,40.5
2016-10-19,40.6
2016-10-20,40.45
2016-10-21,40.3
2016-10-24,40.25
2016-10-25,40.4
2016-10-26,40.5
2016-10-27,40.65
2016-10-28,40.8
2016-10-31,40.95
2016-11-01,40.8
2016-11-02,40.25
2016-11-03,39.8
2016-11-04,40.4
2016-11-07,40.7
2016-11-08,40.75
2016-11-09,39.1
2016-11-10,41.45
2016-11-11,43.75
2016-11-14,45.95
2016-11-15,44.9
2016-11-16,45.45
2016-11-17,44.85
2016-11-18,45
2016-11-21,45.65
2016-11-22,45.45
2016-11-23,46.05
2016-11-24,46.55
2016-11-25,48.45
2016-11-28,48.45
2016-11-29,47.3
2016-11-30,46.9
2016-12-01,48.3
2016-12-02,48
2016-12-05,48.3
2016-12-06,49
2016-12-07,48.9
2016-12-08,49.05
2016-12-09,49.4
2016-12-12,49.4
2016-12-13,49.65
2016-12-14,48.65
2016-12-15,49.8
2016-12-16,50
2016-12-19,49
2016-12-20,49
2016-12-21,48.55
2016-12-22,46.8
2016-12-23,47
2016-12-26,48.05
2016-12-27,47.6
2016-12-28,48.65
2016-12-29,47.9
2016-12-30,48.2
2017-01-03,48
2017-01-04,47.9
2017-01-05,48.4
2017-01-06,48.75
2017-01-09,49
2017-01-10,49.2
2017-01-11,49
2017-01-12,48.7
2017-01-13,48.4
2017-01-16,47.3
2017-01-17,47.5
2017-01-18,46.95
2017-01-19,46.85
2017-01-20,47.15
2017-01-23,47.4
2017-01-24,47.5
2017-02-02,46.9
2017-02-03,46.65
2017-02-06,48.2
2017-02-07,48
2017-02-08,47.85
2017-02-09,47.7
2017-02-10,48.3
2017-02-13,48.25
2017-02-14,48.6
2017-02-15,48.9
2017-02-16,49.05
2017-02-17,49.25
2017-02-20,49
2017-02-21,49.2
2017-02-22,48.8
2017-02-23,48.6
2017-02-24,48.25
2017-03-01,47.85
2017-03-02,48.75
2017-03-03,48.4
2017-03-06,49
2017-03-07,49
2017-03-08,49.85
2017-03-09,49.75
2017-03-10,50
2017-03-13,50.8
2017-03-14,51
2017-03-15,51.2
2017-03-16,51
2017-03-17,51
2017-03-20,51.1
2017-03-21,50.6
2017-03-22,50.1
2017-03-23,50.6
2017-03-24,50.2
2017-03-27,50
2017-03-28,49.7
2017-03-29,49.6
2017-03-30,49
2017-03-31,48.7
2017-04-05,49
2017-04-06,49.05
2017-04-07,48.2
2017-04-10,48.75
2017-04-11,48
2017-04-12,47.95
