date,price
2016-01-04,26
2016-01-05,25.3
2016-01-06,25.5
2016-01-07,25.15
2016-01-08,25.35
2016-01-11,24.75
2016-01-12,24.7
2016-01-13,24.6
2016-01-14,23.7
2016-01-15,23.8
2016-01-18,24.85
2016-01-19,24.75
2016-01-20,24.3
2016-01-21,24.4
2016-01-22,24.05
2016-01-25,24.4
2016-01-26,24.25
2016-01-27,24.25
2016-01-28,24.25
2016-01-29,24.65
2016-02-01,25.05
2016-02-02,25.05
2016-02-03,24.9
2016-02-15,24.6
2016-02-16,25.45
2016-02-17,25.45
2016-02-18,25.75
2016-02-19,26.45
2016-02-22,26.35
2016-02-23,26.45
2016-02-24,26.35
2016-02-25,26
2016-02-26,26.8
2016-03-01,28.2
2016-03-02,28.3
2016-03-03,28.5
2016-03-04,28.95
2016-03-07,30
2016-03-08,29.95
2016-03-09,29.25
2016-03-10,28.4
2016-03-11,28.8
2016-03-14,28.65
2016-03-15,27.45
2016-03-16,28.1
2016-03-17,28
2016-03-18,27.55
2016-03-21,27.45
2016-03-22,26.4
2016-03-23,26.75
2016-03-24,26.6
2016-03-25,26.55
2016-03-28,26.1
2016-03-29,25.55
2016-03-30,25.6
2016-03-31,25.5
2016-04-01,25.25
2016-04-06,24.8
2016-04-07,24.8
2016-04-08,25.25
2016-04-11,25.1
2016-04-12,25.25
2016-04-13,26.45
2016-04-14,27.2
2016-04-15,27.35
2016-04-18,27.15
2016-04-19,27.25
2016-04-20,26.7
2016-04-21,27.25
2016-04-22,27.1
2016-04-25,26.9
2016-04-26,27.35
2016-04-27,27.1
2016-04-28,26.85
2016-04-29,26.1
2016-05-03,25.6
2016-05-04,25.6
2016-05-05,25.15
2016-05-06,25.25
2016-05-09,25.05
2016-05-10,25.05
2016-05-11,25
2016-05-12,24.7
2016-05-13,24
2016-05-16,23.8
2016-05-17,24.05
2016-05-18,24.45
2016-05-19,24.5
2016-05-20,24.6
2016-05-23,25.1
2016-05-24,24.7
2016-05-25,24.65
2016-05-26,24.65
2016-05-27,24.75
2016-05-30,24.6
2016-05-31,24.75
2016-06-01,24.9
2016-06-02,24.65
2016-06-03,24.45
2016-06-06,24.4
2016-06-07,24.7
2016-06-08,24.6
2016-06-13,24.15
2016-06-14,24.15
2016-06-15,24.1
2016-06-16,24
2016-06-17,24.6
2016-06-20,24.5
2016-06-21,24.3
2016-06-22,24.55
2016-06-23,24.3
2016-06-24,24.15
2016-06-27,24.2
2016-06-28,23.95
2016-06-29,24
2016-06-30,24.85
2016-07-01,24.8
2016-07-04,25.25
2016-07-05,25
2016-07-06,24.8
2016-07-07,23.85
2016-07-11,23.95
2016-07-12,23.9
2016-07-13,24
2016-07-14,24
2016-07-15,24
2016-07-18,24.25
2016-07-19,24.25
2016-07-20,23.95
2016-07-21,23.95
2016-07-22,23.95
2016-07-25,23.85
2016-07-26,23.8
2016-07-27,23.8
2016-07-28,23.75
2016-07-29,23.5
2016-08-01,23.35
2016-08-02,23.25
2016-08-03,23
2016-08-04,23.2
2016-08-05,23.1
2016-08-08,23
2016-08-09,22.6
2016-08-10,22.25
2016-08-11,22
2016-08-12,21.95
2016-08-15,21.95
2016-08-16,22.4
2016-08-17,22.3
2016-08-18,22.1
2016-08-19,22
2016-08-22,22
2016-08-23,21.85
2016-08-24,21.8
2016-08-25,21.9
2016-08-26,21.8
2016-08-29,21.65
2016-08-30,21.65
2016-08-31,21.5
2016-09-01,22.35
2016-09-02,22.2
2016-09-05,22.05
2016-09-06,22
2016-09-07,22.3
2016-09-08,22.3
2016-09-09,22.2
2016-09-12,21.85
2016-09-13,21.6
2016-09-14,21.9
2016-09-19,21.7
2016-09-20,21.95
2016-09-21,21.9
2016-09-22,21.9
2016-09-23,23
2016-09-26,22.95
2016-09-29,22.8
2016-09-30,22.4
2016-10-03,22.1
2016-10-04,22.15
2016-10-05,22.15
2016-10-06,22.15
2016-10-07,22.25
2016-10-11,22.15
2016-10-12,22.15
2016-10-13,21.9
2016-10-14,21.85
2016-10-17,22.2
2016-10-18,22.1
2016-10-19,22
2016-10-20,22.05
2016-10-21,21.85
2016-10-24,22
2016-10-25,21.95
2016-10-26,21.95
2016-10-27,22
2016-10-28,21.95
2016-10-31,21.9
2016-11-01,21.85
2016-11-02,21.75
2016-11-03,21.3
2016-11-04,21.35
2016-11-07,21.75
2016-11-08,21.7
2016-11-09,21.35
2016-11-10,21.95
2016-11-11,23.3
2016-11-14,25.6
2016-11-15,24.9
2016-11-16,24.9
2016-11-17,25.9
2016-11-18,26.4
2016-11-21,26.75
2016-11-22,26.45
2016-11-23,26.2
2016-11-24,25.55
2016-11-25,25.3
2016-11-28,25.55
2016-11-29,25.8
2016-11-30,26
2016-12-01,25.7
2016-12-02,25.65
2016-12-05,25.25
2016-12-06,25.7
2016-12-07,25.6
2016-12-08,25.55
2016-12-09,25.35
2016-12-12,24.2
2016-12-13,24.55
2016-12-14,24.45
2016-12-15,24.65
2016-12-16,24.7
2016-12-19,24.15
2016-12-20,23.9
2016-12-21,24.05
2016-12-22,23.9
2016-12-23,24.15
2016-12-26,24.35
2016-12-27,24.55
2016-12-28,24.75
2016-12-29,24.9
2016-12-30,25.1
2017-01-03,25.1
2017-01-04,25
2017-01-05,24.8
2017-01-06,25.2
2017-01-09,25.05
2017-01-10,25.05
2017-01-11,25.7
2017-01-12,25.6
2017-01-13,25.6
2017-01-16,25.5
2017-01-17,25.75
2017-01-18,25.85
2017-01-19,27.05
2017-01-20,26.9
2017-01-23,27.3
2017-01-24,27.3
2017-02-02,27.2
2017-02-03,27.45
2017-02-06,27.55
2017-02-07,27.45
2017-02-08,26.8
2017-02-09,26.85
2017-02-10,27.2
2017-02-13,27.85
2017-02-14,27.25
2017-02-15,29.95
2017-02-16,29.7
2017-02-17,30
2017-02-20,31.05
2017-02-21,31
2017-02-22,31.95
2017-02-23,31.9
2017-02-24,33.5
2017-03-01,33.6
2017-03-02,33
2017-03-03,32.7
2017-03-06,32.7
2017-03-07,33.3
2017-03-08,34.15
2017-03-09,34
2017-03-10,32.8
2017-03-13,32.25
2017-03-14,32.5
2017-03-15,31.75
2017-03-16,31.95
2017-03-17,32.35
2017-03-20,31.85
2017-03-21,32.25
2017-03-22,31.65
2017-03-23,31.05
2017-03-24,30.9
2017-03-27,31.5
2017-03-28,31.2
2017-03-29,32.7
2017-03-30,32.8
2017-03-31,32.65
2017-04-05,32.4
2017-04-06,32.1
2017-04-07,32
2017-04-10,31.25
2017-04-11,31.1
2017-04-12,31
2017-04-13,31.55
2017-04-14,30.6
2017-04-17,30.3
2017-04-18,30.85
2017-04-19,29.85
2017-04-20,29
2017-04-21,29.65
2017-04-24,29.3
2017-04-25,29.6
2017-04-26,29.95
2017-04-27,30.3
2017-04-28,30.55
2017-05-02,30.85
2017-05-03,30.7
2017-05-04,30.4
2017-05-05,29.9
2017-05-08,29.1
2017-05-09,29.15
2017-05-10,29.6
2017-05-11,29.05
2017-05-12,29.1
2017-05-15,30.2
2017-05-16,29.7
2017-05-17,29.7
2017-05-18,29.2
2017-05-19,29.35
2017-05-22,29.95
2017-05-23,30.2
2017-05-24,30.6
2017-05-25,31.25
2017-05-26,31.55
2017-05-31,32.4
2017-06-01,31.7
2017-06-02,31.3
2017-06-05,31.15
2017-06-06,30.85
2017-06-07,30.45
2017-06-08,30.5
2017-06-09,30.7
2017-06-12,31.8
2017-06-13,31.9
2017-06-14,31.6
2017-06-15,31.1
2017-06-16,31
2017-06-19,31
2017-06-20,30.6
2017-06-21,31.6
2017-06-22,30.85
2017-06-23,30.3
2017-06-26,30.65
2017-06-27,30.95
2017-06-28,31.2
2017-06-29,31.7
2017-06-30,31.8
2017-07-03,32.5
2017-07-04,31.85
2017-07-05,31.9
2017-07-06,30.95
2017-07-07,30.65
2017-07-10,30.95
2017-07-11,31.2
2017-07-12,31.8
2017-07-13,31.8
2017-07-14,31.9
2017-07-17,32.2
2017-07-18,31.55
2017-07-19,31.9
2017-07-20,32
2017-07-21,31.9
2017-07-24,31.8
2017-07-25,31.6
2017-07-26,31.5
2017-07-27,31.5
2017-07-28,31.25
2017-07-31,31.4
2017-08-01,32
2017-08-02,32.2
2017-08-03,31.95
2017-08-04,32.15
2017-08-07,34.1
2017-08-08,34.5
2017-08-09,34.75
2017-08-10,32.8
2017-08-11,33.35
2017-08-14,33.5
2017-08-15,34.65
2017-08-16,36.6
2017-08-17,39.15
2017-08-18,38.5
2017-08-21,38.35
2017-08-22,40
2017-08-23,38.85
