date,price
2016-01-04,13.2
2016-01-05,13.15
2016-01-06,13.1
2016-01-07,12.7
2016-01-08,12.75
2016-01-11,12.3
2016-01-12,12.05
2016-01-13,12.1
2016-01-14,12
2016-01-15,11.9
2016-01-18,12.15
2016-01-19,12.15
2016-01-20,11.95
2016-01-21,11.75
2016-01-22,12
2016-01-25,12.05
2016-01-26,11.8
2016-01-27,11.85
2016-01-28,11.95
2016-01-29,12.6
2016-02-01,12.85
2016-02-02,12.65
2016-02-03,12.4
2016-02-15,12.35
2016-02-16,12.75
2016-02-17,12.6
2016-02-18,12.55
2016-02-19,12.55
2016-02-22,12.55
2016-02-23,12.55
2016-02-24,12.55
2016-02-25,12.6
2016-02-26,12.7
2016-03-01,12.8
2016-03-02,13.05
2016-03-03,13.55
2016-03-04,13.85
2016-03-07,14
2016-03-08,13.9
2016-03-09,13.9
2016-03-10,13.9
2016-03-11,13.85
2016-03-14,13.9
2016-03-15,13.65
2016-03-16,13.95
2016-03-17,13.8
2016-03-18,13.85
2016-03-21,14.05
2016-03-22,14
2016-03-23,13.95
2016-03-24,14.05
2016-03-25,14.35
2016-03-28,13.85
2016-03-29,13.7
2016-03-30,13.8
2016-03-31,13.7
2016-04-01,13.6
2016-04-06,13.15
2016-04-07,13
2016-04-08,13
2016-04-11,13.15
2016-04-12,12.9
2016-04-13,13.25
2016-04-14,13.2
2016-04-15,13.3
2016-04-18,12.95
2016-04-19,12.9
2016-04-20,12.85
2016-04-21,12.65
2016-04-22,12.4
2016-04-25,12.55
2016-04-26,12.55
2016-04-27,12.55
2016-04-28,12.3
2016-04-29,12.2
2016-05-03,12.25
2016-05-04,12.05
2016-05-05,12.05
2016-05-06,12.15
2016-05-09,12.05
2016-05-10,12.1
2016-05-11,11.9
2016-05-12,11.8
2016-05-13,11.7
2016-05-16,11.85
2016-05-17,11.9
2016-05-18,11.9
2016-05-19,11.9
2016-05-20,12
2016-05-23,12.45
2016-05-24,12.3
2016-05-25,12.45
2016-05-26,12.4
2016-05-27,12.6
2016-05-30,12.55
2016-05-31,12.3
2016-06-01,12.45
2016-06-02,12.3
2016-06-03,12.35
2016-06-06,12.35
2016-06-07,12.55
2016-06-08,12.55
2016-06-13,12.3
2016-06-14,12.35
2016-06-15,12.3
2016-06-16,12.2
2016-06-17,12.6
2016-06-20,12.45
2016-06-21,12.4
2016-06-22,12.4
2016-06-23,12.4
2016-06-24,11.85
2016-06-27,11.65
2016-06-28,11.7
2016-06-29,11.75
2016-06-30,11.85
2016-07-01,11.95
2016-07-04,11.9
2016-07-05,11.9
2016-07-06,11.8
2016-07-07,11.8
2016-07-11,11.9
2016-07-12,11.85
2016-07-13,12.15
2016-07-14,12.2
2016-07-15,12.5
2016-07-18,12.7
2016-07-19,12.65
2016-07-20,12.55
2016-07-21,12.65
2016-07-22,12.7
2016-07-25,12.7
2016-07-26,12.05
2016-07-27,12
2016-07-28,12.1
2016-07-29,12.05
2016-08-01,12.05
2016-08-02,12
2016-08-03,11.95
2016-08-04,11.95
2016-08-05,12
2016-08-08,12.05
2016-08-09,12.05
2016-08-10,12.2
2016-08-11,12.35
2016-08-12,12.55
2016-08-15,12.3
2016-08-16,12.15
2016-08-17,12.3
2016-08-18,12.2
2016-08-19,12.15
2016-08-22,11.9
2016-08-23,11.9
2016-08-24,11.8
2016-08-25,11.95
2016-08-26,11.85
2016-08-29,11.8
