date,price
2016-01-04,21.97
2016-01-05,21.59
2016-01-06,21.54
2016-01-07,21.11
2016-01-08,21.35
2016-01-11,21.39
2016-01-12,21.11
2016-01-13,21.44
2016-01-14,21.2
2016-01-15,21.15
2016-01-18,21.44
2016-01-19,21.54
2016-01-20,21.11
2016-01-21,21.06
2016-01-22,21.01
2016-01-25,21.63
2016-01-26,21.3
2016-01-27,21.25
2016-01-28,21.49
2016-01-29,22.02
2016-02-01,22.16
2016-02-02,21.92
2016-02-03,21.92
2016-02-15,21.87
2016-02-16,22.3
2016-02-17,22.35
2016-02-18,22.35
2016-02-19,22.26
2016-02-22,22.35
2016-02-23,22.5
2016-02-24,22.69
2016-02-25,22.64
2016-02-26,22.78
2016-03-01,23.07
2016-03-02,23.31
2016-03-03,23.6
2016-03-04,23.7
2016-03-07,24.75
2016-03-08,24.22
2016-03-09,23.6
2016-03-10,23.98
2016-03-11,23.98
2016-03-14,23.98
2016-03-15,23.46
2016-03-16,23.74
2016-03-17,23.7
2016-03-18,24.03
2016-03-21,23.94
2016-03-22,24.03
2016-03-23,23.98
2016-03-24,23.94
2016-03-25,23.55
2016-03-28,23.46
2016-03-29,23.02
2016-03-30,23.17
2016-03-31,23.36
2016-04-01,23.79
2016-04-06,23.31
2016-04-07,23.31
2016-04-08,23.31
2016-04-11,23.46
2016-04-12,23.26
2016-04-13,23.84
2016-04-14,23.74
2016-04-15,23.89
2016-04-18,23.94
2016-04-19,23.89
2016-04-20,23.31
2016-04-21,23.46
2016-04-22,23.22
2016-04-25,23.12
2016-04-26,23.26
2016-04-27,23.22
2016-04-28,23.02
2016-04-29,22.78
2016-05-03,22.45
2016-05-04,22.06
2016-05-05,21.68
2016-05-06,21.63
2016-05-09,22.06
2016-05-10,21.87
2016-05-11,21.87
2016-05-12,21.73
2016-05-13,21.49
2016-05-16,21.44
2016-05-17,21.73
2016-05-18,21.83
2016-05-19,21.68
2016-05-20,21.83
2016-05-23,21.97
2016-05-24,21.87
2016-05-25,22.02
2016-05-26,21.49
2016-05-27,21.59
2016-05-30,21.87
2016-05-31,21.87
2016-06-01,22.5
2016-06-02,22.3
2016-06-03,22.16
2016-06-06,21.97
2016-06-07,22.26
2016-06-08,22.16
2016-06-13,21.68
2016-06-14,21.59
2016-06-15,21.73
2016-06-16,21.54
2016-06-17,21.97
2016-06-20,22.02
2016-06-21,22.16
2016-06-22,22.45
2016-06-23,22.21
2016-06-24,21.83
2016-06-27,22.06
2016-06-28,22.11
2016-06-29,22.16
2016-06-30,22.26
2016-07-01,22.35
2016-07-04,22.64
2016-07-05,22.64
2016-07-06,22.59
2016-07-07,22.5
2016-07-11,22.5
2016-07-12,22.4
2016-07-13,22.5
2016-07-14,22.69
2016-07-15,23.02
2016-07-18,23.12
2016-07-19,23.31
2016-07-20,23.17
2016-07-21,22.26
2016-07-22,22.16
2016-07-25,22.16
2016-07-26,22.06
2016-07-27,22.21
2016-07-28,22.21
2016-07-29,22.21
2016-08-01,22.26
2016-08-02,22.3
2016-08-03,22.16
2016-08-04,22.26
2016-08-05,22.5
2016-08-08,22.5
2016-08-09,22.45
2016-08-10,22.5
2016-08-11,22.69
2016-08-12,22.64
2016-08-15,22.74
2016-08-16,22.45
2016-08-17,22.54
2016-08-18,22.54
2016-08-19,23.5
2016-08-22,23.89
2016-08-23,23.79
2016-08-24,23.7
2016-08-25,23.74
2016-08-26,24.03
2016-08-29,24.51
2016-08-30,24.51
2016-08-31,24.18
2016-09-01,23.89
2016-09-02,23.79
2016-09-05,24.13
2016-09-06,24.27
2016-09-07,24.18
2016-09-08,24.32
2016-09-09,24.66
2016-09-12,23.89
2016-09-13,23.89
2016-09-14,23.79
2016-09-19,24.27
2016-09-20,24.42
2016-09-21,24.46
2016-09-22,24.75
2016-09-23,24.9
2016-09-26,24.8
2016-09-29,24.7
2016-09-30,24.42
2016-10-03,24.46
2016-10-04,25.04
2016-10-05,24.9
2016-10-06,24.37
2016-10-07,24.46
2016-10-11,24.08
2016-10-12,24.03
2016-10-13,24.18
2016-10-14,23.84
2016-10-17,23.84
2016-10-18,24.18
2016-10-19,24.18
2016-10-20,24.18
2016-10-21,24.27
2016-10-24,24.18
2016-10-25,24.08
2016-10-26,23.98
2016-10-27,23.98
2016-10-28,23.84
2016-10-31,23.79
2016-11-01,23.98
2016-11-02,23.79
2016-11-03,23.79
2016-11-04,23.74
2016-11-07,23.74
2016-11-08,23.74
2016-11-09,23.31
2016-11-10,23.98
2016-11-11,24.08
2016-11-14,24.18
2016-11-15,24.7
2016-11-16,24.66
2016-11-17,24.75
2016-11-18,24.99
2016-11-21,25.18
2016-11-22,26
2016-11-23,26.77
2016-11-24,26.62
2016-11-25,26.33
2016-11-28,26.33
2016-11-29,26.57
2016-11-30,26.38
2016-12-01,26.24
2016-12-02,26.19
2016-12-05,25.9
2016-12-06,26.05
2016-12-07,26.09
2016-12-08,26.53
2016-12-09,26.43
2016-12-12,26.72
2016-12-13,27.49
2016-12-14,27.49
2016-12-15,27.82
2016-12-16,28.4
2016-12-19,27.82
2016-12-20,27.53
2016-12-21,27.39
2016-12-22,26.96
2016-12-23,27.25
2016-12-26,27.05
2016-12-27,27.05
2016-12-28,26.91
2016-12-29,27.2
2016-12-30,27.39
2017-01-03,27.77
2017-01-04,27.82
2017-01-05,28.01
2017-01-06,27.96
2017-01-09,27.82
2017-01-10,28.06
2017-01-11,27.92
2017-01-12,27.77
2017-01-13,27.68
2017-01-16,27.68
2017-01-17,27.92
2017-01-18,27.63
2017-01-19,27.63
2017-01-20,27.53
2017-01-23,27.1
2017-01-24,27.29
2017-02-02,27.49
2017-02-03,27.49
2017-02-06,27.58
2017-02-07,27.53
2017-02-08,27.53
2017-02-09,27.49
2017-02-10,27.63
2017-02-13,28.73
2017-02-14,29.36
2017-02-15,29.45
2017-02-16,29.45
2017-02-17,29.88
2017-02-20,29.5
2017-02-21,29.4
2017-02-22,29.4
2017-02-23,29.26
2017-02-24,28.97
2017-03-01,29.4
2017-03-02,29.45
2017-03-03,29.21
2017-03-06,29.07
2017-03-07,29.31
2017-03-08,29.16
2017-03-09,29.12
2017-03-10,28.2
2017-03-13,28.54
2017-03-14,28.44
2017-03-15,28.16
2017-03-16,28.73
2017-03-17,28.88
2017-03-20,28.88
2017-03-21,28.92
2017-03-22,28.88
2017-03-23,28.92
2017-03-24,28.68
2017-03-27,27.87
2017-03-28,28.3
2017-03-29,28.16
2017-03-30,28.3
2017-03-31,28.25
2017-04-05,28.88
2017-04-06,28.88
2017-04-07,28.78
2017-04-10,28.83
2017-04-11,29.16
2017-04-12,29.26
2017-04-13,29.12
2017-04-14,28.78
2017-04-17,28.83
2017-04-18,29.26
2017-04-19,28.88
2017-04-20,29.12
2017-04-21,29.02
2017-04-24,29.26
2017-04-25,29.55
2017-04-26,29.4
2017-04-27,29.4
2017-04-28,29.31
2017-05-02,29.02
2017-05-03,29.02
2017-05-04,29.12
2017-05-05,29.07
2017-05-08,28.92
2017-05-09,28.73
2017-05-10,28.78
2017-05-11,28.78
2017-05-12,28.88
2017-05-15,28.92
2017-05-16,29.07
2017-05-17,28.92
2017-05-18,28.64
2017-05-19,28.73
2017-05-22,28.73
2017-05-23,28.73
2017-05-24,28.83
2017-05-25,28.97
2017-05-26,29.02
2017-05-31,29.16
2017-06-01,28.92
2017-06-02,29.07
2017-06-05,29.12
2017-06-06,29.16
2017-06-07,29.16
2017-06-08,29.26
2017-06-09,29.55
2017-06-12,29.45
2017-06-13,29.5
2017-06-14,29.07
2017-06-15,29.26
2017-06-16,29.36
2017-06-19,29.31
2017-06-20,29.36
2017-06-21,29.74
2017-06-22,29.74
2017-06-23,30.7
2017-06-26,30.99
2017-06-27,31.03
2017-06-28,30.89
2017-06-29,30.89
2017-06-30,31.08
2017-07-03,31.03
2017-07-04,30.99
2017-07-05,31.08
2017-07-06,31.13
2017-07-07,31.13
2017-07-10,31.18
2017-07-11,30.94
2017-07-12,31.18
2017-07-13,31.47
2017-07-14,31.9
2017-07-17,31.95
2017-07-18,32.04
2017-07-19,31.95
2017-07-20,31.9
2017-07-21,32.14
2017-07-24,32.23
2017-07-25,32.52
2017-07-26,32.86
2017-07-27,33.1
2017-07-28,33.15
2017-07-31,32.81
2017-08-01,32.52
2017-08-02,32.95
2017-08-03,32.86
2017-08-04,33.05
2017-08-07,33.77
2017-08-08,33.48
2017-08-09,33.19
2017-08-10,32.09
2017-08-11,32.28
2017-08-14,34.1
2017-08-15,34.63
2017-08-16,36.36
2017-08-17,36.26
2017-08-18,35.5
2017-08-21,35.59
2017-08-22,35.78
2017-08-23,35.54
2017-08-24,36.22
2017-08-25,36.07
2017-08-28,36.17
2017-08-29,36.22
2017-08-30,35.02
2017-08-31,35.06
2017-09-01,34.78
2017-09-04,34.54
2017-09-05,34.15
2017-09-06,34.68
2017-09-07,36.74
2017-09-08,40.39
2017-09-11,44.08
2017-09-12,43.55
2017-09-13,43.27
2017-09-14,43.22
2017-09-15,42.21
2017-09-18,42.16
2017-09-19,43.7
2017-09-20,42.69
2017-09-21,41.73
2017-09-22,41.3
2017-09-25,40.29
2017-09-26,40.39
2017-09-27,41.44
2017-09-28,40.87
2017-09-29,43.07
2017-10-02,43.27
2017-10-03,42.79
2017-10-05,43.03
2017-10-06,42.98
2017-10-11,40.96
2017-10-12,41.16
2017-10-13,41.59
2017-10-16,41.01
2017-10-17,40.77
2017-10-18,40.58
2017-10-19,41.16
2017-10-20,40.44
2017-10-23,40.39
2017-10-24,40.82
2017-10-25,40.53
2017-10-26,40.24
2017-10-27,39.09
2017-10-30,39.72
2017-10-31,40.29
2017-11-01,40.29
2017-11-02,41.68
2017-11-03,41.4
2017-11-06,41.49
2017-11-07,41.25
2017-11-08,41.92
2017-11-09,40.48
2017-11-10,40.87
2017-11-13,41.54
2017-11-14,41.54
2017-11-15,44.03
2017-11-16,43.46
2017-11-17,44.8
2017-11-20,44.9
2017-11-21,43.99
2017-11-22,43.7
2017-11-23,43.41
2017-11-24,43.22
2017-11-27,42.74
2017-11-28,41.44
2017-11-29,41.54
2017-11-30,41.06
2017-12-01,40.77
2017-12-04,40.92
2017-12-05,40.92
2017-12-06,40.29
2017-12-07,40.44
2017-12-08,40.92
2017-12-11,41.25
2017-12-12,41.11
2017-12-13,41.3
2017-12-14,41.35
2017-12-15,41.4
2017-12-18,41.97
2017-12-19,41.4
2017-12-20,41.16
2017-12-21,41.06
2017-12-22,40.77
2017-12-25,40.53
2017-12-26,40.24
2017-12-27,40.92
2017-12-28,40.82
2017-12-29,42.07
2018-01-02,45.09
2018-01-03,44.8
2018-01-04,45.04
2018-01-05,45.86
2018-01-08,47.34
2018-01-09,47.78
2018-01-10,48.93
2018-01-11,48.54
2018-01-12,48.93
2018-01-15,49.98
2018-01-16,49.12
2018-01-17,49.21
2018-01-18,47.78
2018-01-19,46.82
2018-01-22,47.63
2018-01-23,47.06
2018-01-24,47.73
2018-01-25,47.01
2018-01-26,47.25
2018-01-29,47.25
2018-01-30,47.15
2018-01-31,47.15
2018-02-01,46.38
2018-02-02,46.38
2018-02-05,45.76
2018-02-06,43.17
2018-02-07,44.13
2018-02-08,44.03
2018-02-09,43.94
2018-02-12,44.32
2018-02-21,46.1
2018-02-22,47.01
2018-02-23,47.87
2018-02-26,47.87
2018-02-27,47.97
2018-03-01,47.49
2018-03-02,47.01
2018-03-05,47.01
2018-03-06,47.2
2018-03-07,47.01
2018-03-08,47.01
2018-03-09,47.63
2018-03-12,47.87
2018-03-13,47.78
2018-03-14,47.49
2018-03-15,47.34
2018-03-16,46.91
2018-03-19,46.72
2018-03-20,46.29
2018-03-21,45.95
2018-03-22,45.81
2018-03-23,45.38
2018-03-26,45.86
2018-03-27,46.05
2018-03-28,46.05
2018-03-29,46.05
2018-03-30,46.34
2018-03-31,44.8
2018-04-02,43.79
2018-04-03,41.25
2018-04-09,41.64
2018-04-10,41.92
2018-04-11,42.6
2018-04-12,42.6
2018-04-13,42.64
2018-04-16,42.31
2018-04-17,41.83
2018-04-18,41.73
2018-04-19,41.64
2018-04-20,41.64
2018-04-23,41.44
2018-04-24,40.72
2018-04-25,40.53
2018-04-26,40.29
2018-04-27,40.48
2018-04-30,40.87
2018-05-02,41.11
2018-05-03,40.96
2018-05-04,41.01
2018-05-07,40.87
2018-05-08,41.06
2018-05-09,41.01
2018-05-10,41.06
2018-05-11,42.4
2018-05-14,42.83
2018-05-15,43.46
2018-05-16,44.13
2018-05-17,45.19
2018-05-18,45.09
2018-05-21,44.9
2018-05-22,44.99
2018-05-23,45.28
2018-05-24,45.09
2018-05-25,44.8
2018-05-28,44.95
2018-05-29,44.95
2018-05-30,45.23
2018-05-31,46.19
2018-06-01,45.52
2018-06-04,45.47
2018-06-05,45.47
2018-06-06,45.04
2018-06-07,45.09
2018-06-08,45.04
2018-06-11,45.09
2018-06-12,45.09
2018-06-13,45.23
2018-06-14,45.09
2018-06-15,45.09
2018-06-19,44.37
2018-06-20,44.13
2018-06-21,44.08
2018-06-22,44.03
2018-06-25,44.03
2018-06-26,43.75
2018-06-27,43.84
2018-06-28,44.13
2018-06-29,44.85
2018-07-02,44.47
2018-07-03,44.08
2018-07-04,43.99
2018-07-05,43.75
2018-07-06,43.31
2018-07-09,44.08
2018-07-10,43.99
2018-07-11,43.99
2018-07-12,44.51
2018-07-13,44.8
2018-07-16,44.71
2018-07-17,44.08
2018-07-18,44.08
2018-07-19,44.23
2018-07-20,44.13
2018-07-23,44.08
2018-07-24,44.56
2018-07-25,44.85
2018-07-26,44.99
2018-07-27,45.09
2018-07-30,45.76
2018-07-31,46.05
2018-08-01,46
2018-08-02,46.05
2018-08-03,45.9
2018-08-06,46.24
2018-08-07,46.62
2018-08-08,46.53
2018-08-09,46.38
2018-08-10,46.29
2018-08-13,45.71
2018-08-14,46.34
2018-08-15,46.43
2018-08-16,46.1
2018-08-17,46.1
2018-08-20,45.95
2018-08-21,45.66
2018-08-22,45.81
2018-08-23,45.76
2018-08-24,46.62
2018-08-27,42.05
2018-08-28,42
2018-08-29,41.95
2018-08-30,42.25
2018-08-31,42.5
2018-09-03,41.5
2018-09-04,41.1
2018-09-05,40.8
2018-09-06,40.15
2018-09-07,39.8
2018-09-10,38.4
2018-09-11,38.85
2018-09-12,38.8
2018-09-13,39.05
2018-09-14,39.15
2018-09-17,39.1
2018-09-18,38.9
2018-09-19,38.9
2018-09-20,38.8
2018-09-21,39.6
2018-09-25,39.7
2018-09-26,39.6
2018-09-27,39.5
2018-09-28,39.4
2018-10-01,39.45
2018-10-02,39.1
2018-10-03,38.7
2018-10-04,38.5
2018-10-05,38.3
2018-10-08,39.1
2018-10-09,38.5
2018-10-11,37
2018-10-12,37.55
2018-10-15,37.2
2018-10-16,38.15
2018-10-17,38.25
